안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
해동검도 해밀관,031-575-3335,경기도 남양주시 진접읍 해밀예당3로 60,경기도 남양주시 진접읍 금곡리 1095번지,37.7151331370,127.1983978382,S
예랑어린이집,,경기도 남양주시 진접읍 주곡로 113,경기도 남양주시 진접읍 금곡리 551-3,37.7251833053,127.2056649517,S
유피부동산,,경기도 남양주시 진접읍 광릉내로 15,경기도 남양주시 진접읍 부평리 613-9번지,37.7417206567,127.1977451852,S
링키영어 진접센트레빌점,,경기도 남양주시 진접읍 부평로 42,경기도 남양주시 진접읍 부평리 764번지,37.7400865490,127.2002147552,S
펀그라운드 진접,031-560-1341,경기도 남양주시 진접읍 장현로 123,경기도 남양주시 진접읍 장현리 356-4번지,37.7206138408,127.1848500976,S
CU 장현광명점,,경기도 남양주시 진접읍 봉현로 72,경기도 남양주시 진접읍 장현리 550-3번지,37.7192486609,127.1766522152,S
진접체육문화센터,031-560-1280,경기도 남양주시 진접읍 금강로 1509-24,경기도 남양주시 진접읍 장현리 산25-39번지,37.7271163400,127.1897248398,S
세일 컴퓨터 상사,031-529-8272,경기도 남양주시 진접읍 광릉내로82번길 30,경기도 남양주시 진접읍 팔야리 779-5,37.7451332782,127.2071069516,S
블링블링마트,031-574-2870,,경기도 남양주시 진접읍 팔야리 780,37.7451109973,127.2051577605,S
삼거리 할인마트,031-527-7467,,경기도 남양주시 진접읍 팔야리 787,,,F
성심약국,031-572-8101,경기도 남양주시 퇴계원읍 경춘북로 558,경기도 남양주시 퇴계원읍 퇴계원리 208-12,37.6480714716,127.1456967434,S
퇴계원우체국,031-579-9115,경기도 남양주시 퇴계원읍 경춘북로 533,경기도 남양주시 퇴계원읍 퇴계원리 218-77,37.6476397490,127.1430122124,S
오성슈퍼,,경기도 남양주시 퇴계원읍 퇴계원로59번길 24,경기도 남양주시 퇴계원읍 퇴계원리 273-11,37.6535730184,127.1408525121,S
피자나라 치킨공주 퇴계원점,,,경기도 남양주시 퇴계원읍 퇴계원리 366번지 주공아파트,37.6579597324,127.1458878432,S
용한약국,,경기도 남양주시 퇴계원읍 퇴계원로 93,경기도 남양주시 퇴계원읍 퇴계원리 90,37.6548713984,127.1439752393,S
코렉스자전거,031-591-2063,,경기도 남양주시 평내동 120-1,37.6513082526,127.2394557346,S
예스체인지문구점,031-593-4239,경기도 남양주시 경춘로 1292-31,경기도 남양주시 평내동 269-4,37.6486731428,127.2380139359,S
예다움쌀마트,031-595-7774,,경기도 남양주시 평내동 562,37.6403883230,127.2333277920,S
예다움 쌀마트,031-595-7774,,경기도 남양주시 평내동 592,37.6469115398,127.2402872643,S
GS25시(평내데시앙점),031-594-4043,경기도 남양주시 경춘로1286번길 39,경기도 남양주시 평내동 592 상록상가,37.6462686398,127.2389519014,S
인터넷공인중개사,031-511-8600,,경기도 남양주시 평내동 599,37.6463528618,127.2403572233,S
파리바게뜨(평내점),031-559-3636,경기도 남양주시 평내로 136,경기도 남양주시 평내동 599 중흥상가,37.6463528618,127.2403572233,S
인터넷공인중개사,,,경기도 남양주시 평내동 599-0 인터넷공인중개사사무소,37.6463528618,127.2403572233,S
신명할인마트,031-516-2525,경기도 남양주시 의안로 155-1,경기도 남양주시 평내동 601 신명상가,37.6440358564,127.2401045772,S
바른손문구,031-511-9174,경기도 남양주시 의안로 155-1,경기도 남양주시 평내동 601 신명상가,37.6440358564,127.2401045772,S
크레파스문구점,031-593-7395,경기도 남양주시 의안로 129-3,경기도 남양주시 평내동 604-5,37.6425528017,127.2379107461,S
중흥마트 나들가게,031-559-4952,경기도 남양주시 의안로 182,경기도 남양주시 평내동 608 중흥상가,37.6448623050,127.2429468813,S
한아름마트,031-591-3533,,경기도 남양주시 평내동 87-3,37.6488716330,127.2420654949,S
모란꽃집,031-559-7873,경기도 남양주시 호평로45번길 42,경기도 남양주시 호평동 176-5,37.6590852453,127.2470133834,S
파리바게뜨(호평),031-594-8834,경기도 남양주시 천마산로 2,경기도 남양주시 호평동 269-1,37.6620816694,127.2488739869,S
천마산손두부,031-559-8849,경기도 남양주시 천마산로 113,경기도 남양주시 호평동 344-2,37.6706405290,127.2513057797,S
GS25(천마산점),031-591-9353,,경기도 남양주시 호평동 371번지 라인그린아파트,37.6682441228,127.2476059397,S
아리엔(일식당),031-511-0399,경기도 남양주시 천마산로 64,경기도 남양주시 호평동 386-4,37.6671911388,127.2483465268,S
천마마트,031-591-7080,경기도 남양주시 천마산로 14,경기도 남양주시 호평동 405-15,37.6631530233,127.2482921308,S
첨단주유소,031-594-5149,경기도 남양주시 늘을1로 59,경기도 남양주시 호평동 551-1,37.6574910009,127.2392527337,S
우리농수산할인마트,031-594-9941,경기도 남양주시 늘을3로 65-12,경기도 남양주시 호평동 617-1,37.6602408212,127.2478824674,S
CU편의점(남양주호평점),031-594-3199,경기도 남양주시 호평로60번길 9,경기도 남양주시 호평동 649-9,37.6551009607,127.2468455107,S
CU편의점(남양주호평점),031-594-3199,경기도 남양주시 호평로60번길 9,경기도 남양주시 호평동 649-9 CU남양주호평점,37.6551009607,127.2468455107,S
띠아모,031-591-5956,경기도 남양주시 늘을3로25번길 10-1,경기도 남양주시 호평동 714-2,37.6602114335,127.2426218615,S
아이엠릴리,,경기도 남양주시 늘을3로25번길 10-1,경기도 남양주시 호평동 714-2번지,37.6602114335,127.2426218615,S
한남슈퍼,031-593-3341,경기도 남양주시 화도읍 비룡로 333,경기도 남양주시 화도읍 가곡리 165-1,37.6809056315,127.3032014157,S
GS25(가곡점),031-591-7002,경기도 남양주시 화도읍 비룡로 397,경기도 남양주시 화도읍 가곡리 279-2,37.6850053532,127.3078406041,S
외할머니집,031-512-8092,경기도 남양주시 화도읍 비룡로379번길 19-1,경기도 남양주시 화도읍 가곡리 286-9,37.6855972623,127.3060244207,S
다시면가,031-594-1388,경기도 남양주시 화도읍 경춘로 2348,경기도 남양주시 화도읍 답내리 185-3,37.6578351224,127.3484984763,S
세븐일레븐(마석점),031-595-6316,경기도 남양주시 화도읍 마석중앙로 63-1,경기도 남양주시 화도읍 마석우리 292-27번지,37.6526099589,127.3070738681,S
정흥교헤어샵,031-594-0026,경기도 남양주시 화도읍 마석로61번길 18-25,경기도 남양주시 화도읍 마석우리 379-3,37.6574272394,127.3041023645,S
정흥교헤어샵,031-594-0020,경기도 남양주시 화도읍 마석로61번길 18-25,경기도 남양주시 화도읍 마석우리 379-3,37.6574272394,127.3041023645,S
샤프걸미용실,031-591-0256,경기도 남양주시 화도읍 마석로 74,경기도 남양주시 화도읍 마석우리 404-7,37.6574842435,127.3058708373,S
청개구리&amp;베짱이문구,031-593-2887,경기도 남양주시 화도읍 마석로45번길 37,경기도 남양주시 화도읍 마석우리 587,37.6549357229,127.3018188492,S
한림슈퍼-나들가게,031-593-7627,경기도 남양주시 화도읍 먹갓로28번길 72-3,경기도 남양주시 화도읍 묵현리 369-1,37.6572634177,127.2826186333,S
한림슈퍼-나들가게,031-593-7627,경기도 남양주시 화도읍 먹갓로28번길 72-3,경기도 남양주시 화도읍 묵현리 369-1,37.6572634177,127.2826186333,S
GS25(화도묵현점),031-593-9127,경기도 남양주시 화도읍 먹갓로 30,경기도 남양주시 화도읍 묵현리 435-4,37.6568879920,127.2746836678,S
GS25편의점(화도묵현점),,경기도 남양주시 화도읍 먹갓로 30,경기도 남양주시 화도읍 묵현리 435-4번지,37.6568879920,127.2746836678,S
미니스톱(천마산점),031-595-5178,경기도 남양주시 화도읍 먹갓로 40,경기도 남양주시 화도읍 묵현리 437,37.6577799026,127.2744655626,S
미니스톱(천마산점),031-595-5178,경기도 남양주시 화도읍 먹갓로 40,경기도 남양주시 화도읍 묵현리 437,37.6577799026,127.2744655626,S
첫단추유치원,031-594-4300,경기도 남양주시 화도읍 비룡로116번길 31,경기도 남양주시 화도읍 묵현리 53,37.6641074230,127.3048558166,S
첫단추유치원,031-594-4300,경기도 남양주시 화도읍 비룡로116번길 33-1,경기도 남양주시 화도읍 묵현리 53-4,37.6644949225,127.3048094486,S
세븐일레븐(묵현천마점),031-511-0798,경기도 남양주시 화도읍 먹갓로서길 31-16,경기도 남양주시 화도읍 묵현리 572-6,37.6597949960,127.2724300239,S
세븐일레븐(묵현천마점),031-511-0798,,경기도 남양주시 화도읍 묵현리 572-8,,,F
쭈노떡볶이(마석점),031-511-4548,경기도 남양주시 화도읍 비룡로 117,경기도 남양주시 화도읍 묵현리 70-3,37.6623099524,127.3025702344,S
화도성중화요리,031-592-4773,경기도 남양주시 화도읍 수레로 1118,경기도 남양주시 화도읍 차산리 63-39,37.6369485381,127.3039861300,S
크린스피드,070-4063-4726,경기도 남양주시 화도읍 수레로 1111,경기도 남양주시 화도읍 차산리 83-6,37.6367852218,127.3033405108,S
블럭왕,031-595-1007,경기도 남양주시 화도읍 수레로 1105-31,경기도 남양주시 화도읍 차산리 84-11,37.6370441834,127.3018890485,S
신한거성문구,031-511-8881,,경기도 남양주시 화도읍 창현리,,,F
CU화도보경점,031-511-7839,경기도 남양주시 화도읍 수레로1120번길 60,경기도 남양주시 화도읍 창현리 320-5번지,37.6366249421,127.3100394184,S
CU화도보경점,,경기도 남양주시 화도읍 수레로1120번길 60,경기도 남양주시 화도읍 창현리 320-5번지,37.6366249421,127.3100394184,S
세븐일레븐(화도창현점),031-512-9409,경기도 남양주시 화도읍 창현로 51,경기도 남양주시 화도읍 창현리 555번지,37.6463424322,127.3051290162,S
신한거성문구,031-511-8881,,경기도 남양주시 화도읍 창현리 745,37.6493666707,127.3025591583,S
신흥태양체육관,,경기도 동두천시 원터강변로17번길 20-10,경기도 동두천시 동두천동 209-12번지,37.9243897023,127.0533045558,S
재미난시골밥상,031-867-5340,경기도 동두천시 원터강변로31번길 5,경기도 동두천시 동두천동 209-15번지,37.9244733200,127.0539639811,S
신흥간병요양원,031-867-4051,경기도 동두천시 강변로702번길 13-11,경기도 동두천시 동두천동 539-2,37.9295426459,127.0502921070,S
신흥신망애복지원,031-861-5500,경기도 동두천시 강변로702번길 13-11,경기도 동두천시 동두천동 539-2번지,37.9295426459,127.0502921070,S
GS25시 보산점,031-868-6383,경기도 동두천시 동광로 154,경기도 동두천시 보산동 407-48번지,37.9138174760,127.0604787960,S
봉암마트,031-867-5420,경기도 동두천시 봉동로40번길 47,경기도 동두천시 상봉암동 236-3번지,37.9481932044,127.0557782847,S
상봉슈퍼,031-866-4799,경기도 동두천시 봉동로 96-2,경기도 동두천시 상봉암동 261-4번지,37.9500486620,127.0530809446,S
애신아동복지센터,031-865-3978,,경기도 동두천시 생연동,,,F
동두천아동센터,031-865-4898,경기도 동두천시 장고갯로138번길 16-13,경기도 동두천시 생연동 214-12번지,37.9064238280,127.0669612260,S
에이스슈퍼,031-864-1267,경기도 동두천시 행선로 98,경기도 동두천시 생연동 342-4번지,37.8968535293,127.0624904982,S
그린슈퍼마켓,031-862-7960,경기도 동두천시 행선로 101,경기도 동두천시 생연동 349-1번지,37.8972856360,127.0623514533,S
로얄미용실,031-868-4486,경기도 동두천시 생골로 24,경기도 동두천시 생연동 391-1번지,37.9001626939,127.0604462694,S
우리약국,031-868-5005,경기도 동두천시 생골로 36,경기도 동두천시 생연동 400-4번지,37.9001233116,127.0619706701,S
갑순이네떡볶이,031-867-6835,경기도 동두천시 생골로 35,경기도 동두천시 생연동 406-1번지,37.9004662209,127.0620823820,S
생연할인마트,031-863-1327,경기도 동두천시 송터로 17,경기도 동두천시 생연동 465-5번지,37.9088746813,127.0619074156,S
화이트문구,031-863-4946,경기도 동두천시 평화로 2456-2,경기도 동두천시 생연동 480-19번지,37.9070498925,127.0583804727,S
동두천우체국,031-862-2003,경기도 동두천시 평화로 2518,경기도 동두천시 생연동 508-1번지,37.9126098750,127.0581083346,S
동두천메디슨,031-865-2614,경기도 동두천시 중앙로 269,경기도 동두천시 생연동 593-7번지,37.9055183713,127.0537826680,S
금호슈퍼,,,경기도 동두천시 생연동 786-2번지 금호연립주택,37.8974899231,127.0472569872,S
좋은열매어린이집,031-864-8852,경기도 동두천시 강변로336번길 18,경기도 동두천시 생연동 791-2번지,37.8997606170,127.0471065860,S
푸른정육점,031-861-0780,경기도 동두천시 삼육사로 896,경기도 동두천시 생연동 806-3번지,37.9000037669,127.0494027153,S
야쿠르트(동두천지점),031-861-1555,경기도 동두천시 생연로 103-5,경기도 동두천시 생연동 819-41번지,37.9018997119,127.0502442540,S
파주슈퍼,031-865-3283,경기도 동두천시 생연로 106,경기도 동두천시 생연동 821-25번지,37.9020008939,127.0507782473,S
오렌지25시,031-859-7852,경기도 동두천시 동두천로 13,경기도 동두천시 송내동 695-2번지,37.8826801368,127.0539659911,S
동두천우체국(중앙동지점),031-862-2001,경기도 동두천시 중앙로273번길 23,경기도 동두천시 중앙동 590-11,37.9060006565,127.0526194772,S
이마트24,031-863-6053,,경기도 동두천시 지행동 270-3번지 지행주공아파트,37.8951108952,127.0592365879,S
동두천우체국(지행동지점),031-857-0700,경기도 동두천시 중앙로 136,경기도 동두천시 지행동 692-7번지,37.8936164504,127.0525238350,S
지행온누리,031-864-1475,경기도 동두천시 지행로 59,경기도 동두천시 지행동 695번지,37.8926929252,127.0537918537,S
길손식당,031-868-5777,경기도 동두천시 탑신로 127,경기도 동두천시 탑동동 354-2번지,37.8929525557,127.1090644288,S
예랑미술,032-341-2333,경기도 부천시 소사구 경인로484번길 82,경기도 부천시 소사구 괴안동 100-48번지,37.4800257003,126.8113208397,S
초이스헤어아트,032-348-9702,경기도 부천시 소사구 경인로484번길 76,경기도 부천시 소사구 괴안동 100번지,37.4801693816,126.8112290388,S
신대원,032-344-0005,경기도 부천시 소사구 경인로484번길 35,경기도 부천시 소사구 괴안동 107-14번지,37.4819309237,126.8103532669,S
바른손약국,032-343-4217,경기도 부천시 소사구 경인로 508,경기도 부천시 소사구 괴안동 114-6번지,37.4840759829,126.8118718283,S
대도문구,032-344-7278,경기도 부천시 소사구 부광로 25,경기도 부천시 소사구 괴안동 124-8번지,37.4826187626,126.8139324215,S
린헤어,070-7321-2595,경기도 부천시 소사구 부광로35번길 69,경기도 부천시 소사구 괴안동 165-12번지,37.4834859051,126.8173629711,S
원마트,032-343-0957,경기도 부천시 소사구 안곡로 196,경기도 부천시 소사구 괴안동 185-24번지,37.4856321799,126.8191079754,S
꿈나무아동종합상담소,032-344-7205,경기도 부천시 소사구 안곡로194번길 14,경기도 부천시 소사구 괴안동 185-35번지,37.4864362964,126.8194400141,S
GS25     (소사삼익점),032-347-2555,경기도 부천시 소사구 소안로 22,경기도 부천시 소사구 괴안동 204-6번지,37.4767175760,126.8020771959,S
양지문구,,경기도 부천시 소사구 안곡로 136,경기도 부천시 소사구 괴안동 26-1번지,37.4813064996,126.8161273385,S
CEO헤어갤러리,032-349-0333,경기도 부천시 소사구 안곡로 36,경기도 부천시 소사구 괴안동 71-1번지,37.4789688378,126.8063088547,S
CU(소사베스트점),032-341-2923,경기도 부천시 소사구 안곡로 77,경기도 부천시 소사구 괴안동 98-8번지,37.4785094647,126.8109841440,S
한우세계,032-344-9997,경기도 부천시 소사구 범안로 130-21,경기도 부천시 소사구 범박동 151-2번지,37.4701723771,126.8079733827,S
힐공인중개사무소,032-344-5888,경기도 부천시 소사구 범안로 77,경기도 부천시 소사구 범박동 154-2번지,37.4749363645,126.8088002882,S
CU편의점(소사현대점),032-664-2693,,경기도 부천시 소사구 범박동 154-2번지 부천범박힐스테이트1단지,37.4745842356,126.8102398301,S
CU편의점(소사3단지점),032-344-7600,,경기도 부천시 소사구 범박동 155-1번지 부천범박힐스테이트3단지,37.4719756619,126.8111572174,S
씨채널안경점,032-351-0110,경기도 부천시 소사구 범안로 117,경기도 부천시 소사구 범박동 155-2번지,37.4712184042,126.8095922252,S
CU편의점(범박휴먼시아점),032-343-3088,,경기도 부천시 소사구 범박동 234-1번지 범박파밀리에포레스트,37.4675122097,126.8170672234,S
금나와라뚝딱,032-347-5591,경기도 부천시 소사구 호현로447번길 5-3,경기도 부천시 소사구 소사본동 147-18번지,37.4776975086,126.7925564552,S
봉황 수학교습소,032-341-7801,경기도 부천시 소사구 은성로 57,경기도 부천시 소사구 소사본동 159-48번지,37.4753356536,126.7970346798,S
CU소사공원점,032-345-9745,경기도 부천시 소사구 은성로30번길 26,경기도 부천시 소사구 소사본동 178-24번지,37.4741091624,126.7939021657,S
신세계이동통신,070-8621-7502,경기도 부천시 소사구 소사로 171,경기도 부천시 소사구 소사본동 183-11번지,37.4734955681,126.7952989781,S
자매슈퍼,032-347-0230,경기도 부천시 소사구 소사로147번길 23,경기도 부천시 소사구 소사본동 234-16번지,37.4713260302,126.7942449980,S
세븐일레븐(부천한신점),032-341-3768,경기도 부천시 소사구 은성로 86,경기도 부천시 소사구 소사본동 244-86번지,37.4750306511,126.8003172918,S
더제이마트,032-344-5253,경기도 부천시 소사구 소사로102번길 59,경기도 부천시 소사구 소사본동 400-9번지,37.4690667657,126.8008365367,S
소사로 우체국,032-342-0005,경기도 부천시 소사구 소사로 88,경기도 부천시 소사구 소사본동 404-2번지,37.4666384718,126.7986992792,S
ILS영어학원,032-344-0594,경기도 부천시 소사구 은성로 135,경기도 부천시 소사구 소사본동 407-6번지,37.4729852173,126.8050070575,S
GS25(송내중앙점),032-667-8655,경기도 부천시 소사구 송내대로42번길 58,경기도 부천시 소사구 송내동 300번지 102호,37.4870214680,126.7565099372,S
가나종합동물병원,032-665-0075,경기도 부천시 소사구 경인로 72,경기도 부천시 소사구 송내동 393-1번지,37.4835480172,126.7631837750,S
편한약국,032-667-8030,경기도 부천시 소사구 경인로 74,경기도 부천시 소사구 송내동 393번지,37.4835497803,126.7634665268,S
에덴파크,031-611-0447,경기도 부천시 소사구 경인로60번길 20,경기도 부천시 소사구 송내동 398-1번지,37.4828000598,126.7617659787,S
CU편의점(송내명성점),032-611-0741,경기도 부천시 소사구 성주로 52,경기도 부천시 소사구 송내동 438-1번지,37.4802341256,126.7622323244,S
양천수퍼,032-663-4166,경기도 부천시 소사구 마니로24번길 24,경기도 부천시 소사구 송내동 679-9번지,37.4776116115,126.7710119463,S
이마트24(부천송내빌리지점),070-8805-1505,경기도 부천시 소사구 송내대로27번길 32,경기도 부천시 소사구 송내동 701-7번지,37.4861612854,126.7516094235,S
솔안팬지문구,032-662-4455,경기도 부천시 소사구 경인로1185번길 42,경기도 부천시 소사구 송내동 704-12번지,37.4856401838,126.7518747765,S
CU편의점(송내남부역점),032-662-3081,경기도 부천시 소사구 송내대로 25,경기도 부천시 소사구 송내동 708-1번지,37.4858710900,126.7527547400,S
목향마트,032-611-4513,경기도 부천시 소사구 경인로182번길 86,경기도 부천시 소사구 심곡본동 581-15번지,37.4801399084,126.7746745269,S
포크와수저,070-7537-3779,경기도 부천시 소사구 심곡로 63,경기도 부천시 소사구 심곡본동 622-4번지,37.4782858731,126.7751222269,S
이디야,032-654-1187,경기도 부천시 소사구 성주로176번길 28,경기도 부천시 소사구 심곡본동 623-1번지,37.4776387424,126.7754225348,S
에이스할인마트,032-653-8023,경기도 부천시 소사구 심곡로 73,경기도 부천시 소사구 심곡본동 623-6번지,37.4774658310,126.7751527678,S
동진하이퍼,032-668-3880,경기도 부천시 소사구 경인로216번길 78,경기도 부천시 소사구 심곡본동 648-11번지,37.4798402970,126.7787377888,S
정대영한의원,032-715-7583,경기도 부천시 소사구 경인로216번길 10,경기도 부천시 소사구 심곡본동 666-3번지,37.4830073038,126.7792728794,S
도날드문구사,032-654-4710,경기도 부천시 소사구 성주로 263-3,경기도 부천시 소사구 심곡본동 678-2번지,37.4819954577,126.7818500913,S
온누리어린이집,032-655-1756,경기도 부천시 소사구 성주로164번길 53,경기도 부천시 소사구 심곡본동 807번지,37.4766998514,126.7737125201,S
e편한심곡어린이집,032-668-1116,,경기도 부천시 소사구 심곡본동 820-2번지 e편한세상부천심곡,37.4787530016,126.7733985876,S
GS25(부천옥길센트리뷰점),,경기도 부천시 소사구 옥길로 55,경기도 부천시 소사구 옥길동 771-1번지 옥길센트리뷰,37.4661718323,126.8206528010,S
카젠,,,경기도 부천시 오정구 고강동,,,F
코리아문구완구,032-673-3321,경기도 부천시 오정구 고강로 92,경기도 부천시 오정구 고강동 282-1번지,37.5300332365,126.8145395947,S
한국야쿠르트,032-672-8615,경기도 부천시 오정구 고강로92번길 29,경기도 부천시 오정구 고강동 286-5번지,37.5287720768,126.8146643121,S
세븐일레븐(부천고강은데미점),032-665-0010,경기도 부천시 오정구 성지로 20,경기도 부천시 오정구 고강동 298-18번지,37.5210141362,126.8120193322,S
CU편의점(고강점),032-675-9920,,경기도 부천시 오정구 고강동 304-4번지 대하에버그린빌라,37.5239602710,126.8133503052,S
늘사랑교회,032-676-7202,경기도 부천시 오정구 고리울로 80,경기도 부천시 오정구 고강동 329-4번지,37.5267484195,126.8248118263,S
CU편의점(고강삼원점),032-683-0905,경기도 부천시 오정구 고리울로8번길 29,경기도 부천시 오정구 고강동 372번지,37.5265231279,126.8169822959,S
비어앤크림,032-675-1768,,경기도 부천시 오정구 고강동 388-15번지 덕용주택,37.5262811420,126.8203457245,S
나들가게 종원마트,,,경기도 부천시 오정구 내동 17-3번지 우성연립,37.5194443771,126.7741357986,S
스포츠토토,032-677-3526,,경기도 부천시 오정구 삼정동 276번지 e-좋은아침,37.5184236544,126.7664847347,S
뽀빠이문구,032-674-7938,경기도 부천시 오정구 중동로 437,경기도 부천시 오정구 삼정동 296-32번지,37.5189586337,126.7699082785,S
약대종로약국,032-677-0541,경기도 부천시 오정구 중동로 426,경기도 부천시 오정구 삼정동 303-1번지,37.5177634132,126.7704857204,S
그린비제과,032-672-1923,,경기도 부천시 오정구 삼정동 303-2번지 삼정연립,37.5175104228,126.7703863403,S
나들가게 코사마트(천성슈퍼),032-682-7712,경기도 부천시 오정구 중동로426번길 24,경기도 부천시 오정구 삼정동 305-14번지,37.5178280319,126.7721937982,S
휴먼시아 2단지 1초소,032-684-3384,경기도 부천시 오정구 여월로 63,경기도 부천시 오정구 여월동 320번지,37.5121401425,126.8050514870,S
미가헤어,032-683-7737,경기도 부천시 오정구 여월로 60,경기도 부천시 오정구 여월동 330번지,37.5110164474,126.8055597629,S
마마문구,032-682-0227,경기도 부천시 오정구 오정로252번길 80,경기도 부천시 오정구 오정동 114-54번지,37.5287010844,126.7904339748,S
오정오토바이,032-682-5949,경기도 부천시 오정구 오정로 209-4,경기도 부천시 오정구 오정동 207-8번지,37.5274752783,126.7829760978,S
명동일번지,032-683-7288,경기도 부천시 오정구 상오정로 21,경기도 부천시 오정구 오정동 566-10번지,37.5242590394,126.7862095699,S
나들가게(지혜마트),032-682-8214,경기도 부천시 오정구 상오정로7번길 9,경기도 부천시 오정구 오정동 586-6번지,37.5247183997,126.7846660825,S
생큐마트 현성슈퍼(나들가게),032-681-1975,경기도 부천시 오정구 상오정로 60-5,경기도 부천시 오정구 오정동 615번지 고려상가 1층,37.5233748484,126.7905523242,S
더죤 공인중개사무소,032-682-7100,,경기도 부천시 오정구 오정동 717번지 오정휴먼시아,37.5315517946,126.7833784757,S
소비자 효마트,032-674-4217,경기도 부천시 오정구 상오정로182번길 39,경기도 부천시 오정구 원종동 126-12번지,37.5285335849,126.7986068486,S
샘터 공인중개사무소,032-682-7200,경기도 부천시 오정구 소사로 819,경기도 부천시 오정구 원종동 166-8번지,37.5291548979,126.8045993960,S
대은약국,032-681-0148,경기도 부천시 오정구 소사로808번길 6,경기도 부천시 오정구 원종동 231번지,37.5280135163,126.8051645498,S
샘물약국,032-677-7589,경기도 부천시 오정구 성지로101번길 38,경기도 부천시 오정구 원종동 299-2번지,37.5281633993,126.8092035156,S
CU편의점(부천원종점),032-671-4507,경기도 부천시 오정구 삼작로 382,경기도 부천시 오정구 원종동 375번지,37.5196701945,126.8041668842,S
나들가게(장군슈퍼),032-672-5256,경기도 부천시 오정구 소사로 837,경기도 부천시 오정구 원종동 70-8번지,37.5309516737,126.8051259753,S
크로바베이커리,032-681-0455,경기도 부천시 오정구 삼작로 494-1,경기도 부천시 오정구 작동 33-11번지,37.5184529013,126.8164334803,S
(부천시)CU도당누리점,032-676-4939,경기도 부천시 원미구 성곡로69번길 93,경기도 부천시 원미구 도당동 105-4번지 1층,37.5186631309,126.7924414578,S
(부천시)셀파우등생교실,032-675-6958,경기도 부천시 원미구 신흥로335번길 12,경기도 부천시 원미구 도당동 214-28번지 1층,37.5136515048,126.7745879439,S
(부천시)성가약국,032-676-3200,경기도 부천시 원미구 부천로245번길 40,경기도 부천시 원미구 도당동 265-39번지 1층,37.5059493488,126.7841663682,S
(부천시)럭키슈퍼,032-683-9256,경기도 부천시 원미구 부천로245번길 42,경기도 부천시 원미구 도당동 266-4번지 1층,37.5059842349,126.7839736943,S
(부천시)상동세일마트(구코사마트),032-665-0420,경기도 부천시 원미구 장말로200번길 29,경기도 부천시 원미구 상동 238번지 1층,37.4914664544,126.7639204557,S
(부천시)CU상동베스트점,032-667-3254,경기도 부천시 원미구 석천로38번길 13,경기도 부천시 원미구 상동 243-4번지 1층,37.4907725483,126.7610540554,S
(부천시)시민슈퍼,032-612-7973,경기도 부천시 원미구 부일로275번길 14,경기도 부천시 원미구 상동 319번지 1층,37.4888594718,126.7606996201,S
(부천시)CU중동역점,032-652-7181,경기도 부천시 원미구 부일로298번길 25,경기도 부천시 원미구 상동 327-14번지 1층,37.4873144391,126.7629884240,S
(부천시)역전슈퍼,032-665-6420,경기도 부천시 원미구 석천로2번길 74,경기도 부천시 원미구 상동 346-5번지 1층,37.4870482121,126.7636584056,S
(부천시)부천상동우체국,032-323-4082,경기도 부천시 원미구 부흥로 76,경기도 부천시 원미구 상동 391-2번지 1층,37.4970721171,126.7509009700,S
(부천시)나들마트(구 동원하이저마켓),032-323-0039,,경기도 부천시 원미구 상동 394-1번지 한아름마을 1층,37.4958056711,126.7544544653,S
(부천시)CU상동사랑마을점,032-249-2885,경기도 부천시 원미구 부흥로 152,경기도 부천시 원미구 상동 415번지 1층 107-109,37.4965310441,126.7594361614,S
(부천시)GS부천상도점,032-323-2297,경기도 부천시 원미구 장말로 156,경기도 부천시 원미구 상동 420번지 1층,37.4933751039,126.7592410801,S
(부천시)HY 중동점,032-325-0931,경기도 부천시 원미구 석천로53번길 11,경기도 부천시 원미구 상동 423-4번지 1층,37.4922080319,126.7599878909,S
(부천시)GS25(송내점),032-321-6558,경기도 부천시 원미구 부일로221번길 26,경기도 부천시 원미구 상동 455번지 삼원빌딩 102호,37.4895094263,126.7551165674,S
(부천시)이마트24부천상동연우점,032-321-5072,경기도 부천시 원미구 평천로 597,경기도 부천시 원미구 상동 499-2번지 부천자동차백화점 1층 121호,37.5159323285,126.7572529215,S
(부천시)세븐일레븐 부천 라일락마을점,070-8888-4300,경기도 부천시 원미구 도약로 33,경기도 부천시 원미구 상동 523-11번지 1층,37.5126166558,126.7531670701,S
(부천시)메디칼약국,032-324-6877,경기도 부천시 원미구 도약로 29,경기도 부천시 원미구 상동 523-8번지 에이스프라자 103호,37.5126675126,126.7526573817,S
(부천시)서울메디칼약국,032-217-0065,경기도 부천시 원미구 송내대로265번길 85,경기도 부천시 원미구 상동 535-1번지,37.5073665058,126.7539095550,S
(부천시)GS25(상동서해점),032-327-8328,경기도 부천시 원미구 소향로 25,경기도 부천시 원미구 상동 546-6번지 서해프라자 107호,37.5039659760,126.7506736993,S
(부천시)한양공인중개사사무소,032-324-0400,경기도 부천시 원미구 조마루로 47,경기도 부천시 원미구 상동 550-7번지 행복한마을 상가동 103호,37.5021637199,126.7493227710,S
(부천시)상동자이공인중개사,032-328-2088,경기도 부천시 원미구 조마루로 52,경기도 부천시 원미구 상동 571-1번지 백송마을 102호,37.5007936889,126.7493251743,S
